case_id,fixture_file,fixture_class,case_family,production_rule_ids,input_lexical_pattern,normalization_mode,context_mode,expected_parse_status,expected_candidate_policy,expected_primary_rule_ids,expected_guard_actions,expected_rank_order,expected_consumed_token_assertion,expected_unconsumed_token_assertion,expected_sound_type_candidate,expected_sound_type_resolution_status,surface_assertion_scope,invalid_matrix_case_refs,oracle_free,p1c_implementation_required,authority_boundary,notes
P1B-REAL-004,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_ID_NORMALIZATION_GAP,NONE,RIGHT_HAND_ACTION_COMPONENT,COMPONENT_ID_NORMALIZATION_GAP,NO_CONTEXT,COMPONENT_ID_NORMALIZATION_GAP,REJECT_BEFORE_GRAMMAR,NONE,HARD_REJECT,NONE,NONE,gap,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,normalization_gap
P1B-REAL-005,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_STATE_START_MARKER,PR-STATE-START,STATE_MARKER_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-STATE-START,NOT_APPLICABLE,NONE,state_start,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_state_start
P1B-REAL-006,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_STATE_END_MARKER,PR-STATE-END,STATE_MARKER_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-STATE-END,NOT_APPLICABLE,NONE,state_end,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_state_end
P1B-REAL-007,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_TIMING_MARKER,PR-TIMING,TIMING_MARKER_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-TIMING,NOT_APPLICABLE,NONE,timing,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_timing_marker
P1B-REAL-008,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_GENERIC_MARKER_REGISTERED,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,NO_CONTEXT,VALID_COMPLETE,ACCEPT_NON_SOUNDING_MARKER,PR-GENERIC-MARKER,NOT_APPLICABLE,NONE,mark,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_generic_marker
P1B-REAL-009,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_SPECIAL_TECHNIQUE_WITH_CONTEXT,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_TECHNIQUE_WITH_REVIEWABLE_ATTACHMENT,PR-SPECIAL-TECHNIQUE,NEEDS_HUMAN_REVIEW,NONE,special,NONE,按,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_special_technique
P1B-REAL-010,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_PRE_MOTION_WITH_HOST,PR-PRE-MOTION;PR-LF-HUI-RH-STRING,LEFT_HAND_ACTION_COMPONENT LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID;NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_PRE_MOTION_ATTACHED_HOST,PR-PRE-MOTION;PR-LF-HUI-RH-STRING,NOT_APPLICABLE,NONE,motion;lf;hui;rh;string,NONE,按,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_pre_motion
P1B-REAL-011,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_OPEN_STATE_RH_STRING,PR-STATE-START;PR-RH-STRING,STATE_MARKER_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_FROM_LEGACY_ID;NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_LOCAL_STATE_PLUS_SOUNDING_UNIT,PR-STATE-START;PR-RH-STRING,NOT_APPLICABLE,NONE,state;rh;string,NONE,散,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_open_state
P1B-REAL-012,p1b_sanitized_real_id_fixtures.v0.1.json,SANITIZED_REAL_ID,REAL_POSITION_TRANSITION_UNRESOLVED,PR-UNKNOWN,LEFT_HAND_ACTION_COMPONENT,NORMALIZED_FROM_SOURCE_V0_1_ID,NO_CONTEXT,UNRESOLVED,REVIEW_POSITION_TRANSITION_WITHOUT_HOST,PR-UNKNOWN,FORCE_UNRESOLVED,NONE,NONE,motion,None,UNRESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,real_position_transition
P1B-GUARD-001,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,HARD_REJECT_MARKER_AS_SOUNDING,PR-TIMING,TIMING_MARKER_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,FORBIDDEN_GUARD_REJECTED,REJECT_MARKER_AS_SOUNDING,PR-TIMING,HARD_REJECT,NONE,timing,NONE,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_hard_reject
P1B-GUARD-002,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,HARD_REJECT_SCOPED_FORBIDDEN_PARSE,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_INHERITED_CONTEXT,FORBIDDEN_GUARD_REJECTED,REJECT_SCOPED_FORBIDDEN_OUTPUT,PR-RH-STRING,HARD_REJECT,NONE,rh;num,NONE,散,RESOLVED,NONE,SCOPED_FORBIDDEN_GUARD_HIT,true,true,P1B_DRAFT_NON_AUTHORITY,guard_scoped_hard_reject
P1B-GUARD-003,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,SOFT_PENALTY_CONFUSABLE_MARKERS,PR-TIMING,TIMING_MARKER_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_WITH_SOFT_PENALTY_ON_CONFUSABLE_ALTERNATIVE,PR-TIMING,SOFT_PENALTY,NONE,timing,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_soft_penalty
P1B-GUARD-004,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,SOFT_PENALTY_NUMERIC_CLUSTER,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT NUMERIC_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,KEEP_AMBIGUOUS_WITH_SOFT_PENALTY,PR-RH-STRING,SOFT_PENALTY,NONE,NONE,rh;n1;n2,None,AMBIGUOUS,NONE,MULTIPLE_STRING_NUMBERS_SAME_SLOT,true,true,P1B_DRAFT_NON_AUTHORITY,guard_soft_penalty
P1B-GUARD-005,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,FORCE_UNRESOLVED_ID_LABEL_CONFLICT,PR-TIMING,TIMING_MARKER_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,UNRESOLVED,FORCE_REVIEW_ON_EVIDENCE_CONFLICT,PR-TIMING,FORCE_UNRESOLVED,NONE,NONE,conflict,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_force_unresolved
P1B-GUARD-006,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,FORCE_UNRESOLVED_INSUFFICIENT_SCOPE,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,UNRESOLVED,FORCE_REVIEW_ON_INSUFFICIENT_EVIDENCE,PR-RH-STRING,FORCE_UNRESOLVED,NONE,rh,NONE,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_force_unresolved
P1B-GUARD-007,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NEEDS_CONTEXT_DECLARED_CONTEXT_MISSING,PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_V0_2_PRIMARY,CONTEXT_REQUIRED_MISSING,INCOMPLETE,REJECT_MISSING_CONTEXT_SOURCE,PR-RH-STRING-CONTEXT,NEEDS_CONTEXT,NONE,rh;num,NONE,None,CONTEXT_REQUIRED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_needs_context
P1B-GUARD-008,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NEEDS_CONTEXT_POST_MOTION_HOST_MISSING,PR-POST-MOTION,LEFT_HAND_ACTION_COMPONENT,NORMALIZED_V0_2_PRIMARY,CONTEXT_REQUIRED_MISSING,INCOMPLETE,REJECT_HOSTLESS_POST_MOTION,PR-POST-MOTION,NEEDS_CONTEXT,NONE,motion,NONE,None,CONTEXT_REQUIRED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_needs_context
P1B-GUARD-009,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NEEDS_HUMAN_REVIEW_SPECIAL_TECHNIQUE,PR-SPECIAL-TECHNIQUE,SPECIAL_TECHNIQUE_COMPONENT,NORMALIZED_V0_2_PRIMARY,EXPLICIT_CONTEXT,VALID_WITH_CONTEXT,ACCEPT_REVIEWABLE_TECHNIQUE,PR-SPECIAL-TECHNIQUE,NEEDS_HUMAN_REVIEW,NONE,special,NONE,按,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_needs_human_review
P1B-GUARD-010,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NEEDS_HUMAN_REVIEW_GENERIC_CONTEXT_MARKER,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,UNRESOLVED,REVIEW_GENERIC_MARKER_BEHAVIOR,PR-GENERIC-MARKER,NEEDS_HUMAN_REVIEW,NONE,mark,NONE,None,UNRESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,guard_needs_human_review
P1B-GUARD-011,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NOT_APPLICABLE_LITERAL_SCOPE_MISMATCH,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,VALID_COMPLETE,ACCEPT_WHEN_FORBIDDEN_LITERAL_SCOPE_MISMATCHES,PR-GENERIC-MARKER,NOT_APPLICABLE,NONE,mark,NONE,None,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,scope_mismatch_not_applicable
P1B-GUARD-012,p1b_guard_action_fixtures.v0.1.json,D3A_GUARD_ACTION,NOT_APPLICABLE_COMPONENT_SCOPE_MISMATCH,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_INHERITED_CONTEXT,VALID_COMPLETE,ACCEPT_WHEN_COMPONENT_SCOPE_MISMATCHES,PR-RH-STRING,NOT_APPLICABLE,NONE,rh;num,NONE,散,RESOLVED,LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,scope_mismatch_not_applicable
P1B-RANK-001,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_INVALID_HARD_REJECTED_EXCLUDED,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_INHERITED_CONTEXT,VALID_COMPLETE,ACCEPT_VALID_EXCLUDE_HARD_REJECTED,PR-RH-STRING,HARD_REJECT;NOT_APPLICABLE,cand-valid,rh;num,NONE,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:invalid_hard_rejected_excluded
P1B-RANK-002,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_REQUIRED_SLOT_COMPLETENESS,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_INHERITED_CONTEXT,VALID_COMPLETE,RANK_COMPLETE_OVER_INCOMPLETE,PR-RH-STRING,NOT_APPLICABLE,cand-complete,rh;num,NONE,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:required_slot_completeness
P1B-RANK-003,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_SPECIFICITY,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,RANK_SPECIFIC_OVER_GENERIC,PR-LF-HUI-RH-STRING,NOT_APPLICABLE,cand-specific;cand-generic,lf;hui;rh;string,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:specificity
P1B-RANK-004,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_FEWER_CONTEXT_DEPENDENCIES,PR-RH-STRING;PR-RH-STRING-CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,EXPLICIT_CONTEXT,VALID_AMBIGUOUS,RANK_FEWER_CONTEXT_DEPENDENCIES_FIRST,PR-RH-STRING;PR-RH-STRING-CONTEXT,NOT_APPLICABLE,cand-context-free;cand-context-dependent,rh;num,NONE,None,AMBIGUOUS,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:fewer_context_dependencies
P1B-RANK-005,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_FEWER_UNRESOLVED_ITEMS,PR-RH-STRING;PR-UNKNOWN,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT UNKNOWN_COMPONENT,ABSTRACT_PRIMARY;UNKNOWN_COMPONENT,NO_INHERITED_CONTEXT,UNRESOLVED,RANK_FEWER_UNRESOLVED_ITEMS_FIRST,PR-RH-STRING;PR-UNKNOWN,FORCE_UNRESOLVED,cand-one-unresolved;cand-two-unresolved,rh;num,unk,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:fewer_unresolved_items
P1B-RANK-006,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_HIGHER_CONSUMED_TOKEN_COVERAGE,PR-LF-HUI-RH-STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,RANK_HIGHER_COVERAGE_FIRST,PR-LF-HUI-RH-STRING,NOT_APPLICABLE,cand-four-of-four;cand-two-of-four,lf;hui;rh;string,NONE,按,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:higher_consumed_token_coverage
P1B-RANK-007,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_PRODUCTION_PRIORITY,PR-GENERIC-MARKER,GENERIC_MARKER_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_COMPLETE,RANK_BY_PRODUCTION_PRIORITY_LATE,PR-GENERIC-MARKER,NOT_APPLICABLE,cand-generic-marker,mark,NONE,None,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:production_priority
P1B-RANK-008,p1b_deterministic_ranking_fixtures.v0.1.json,DETERMINISTIC_RANKING,RANK_CANDIDATE_ID_TIE_BREAK,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,RANK_BY_CANDIDATE_ID_FINAL_TIE_BREAK,PR-RH-STRING,NOT_APPLICABLE,cand-001-open;cand-002-open,rh;num,NONE,None,AMBIGUOUS,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,ranking:candidate_id_deterministic_tie_break
